Dataset,Encoding,Avg Encode (s),Avg Decode (s),CPU (%),Peak Enc (MB),Peak Dec (MB),data_loss
cjk_journey_bench.txt,ascii,0.0014110622899999043,3.6648999980570804e-08,99.9,6.737397193908691,0.0,True
cjk_journey_bench.txt,utf-8,0.005802016839000089,0.014055334381999955,100.0,20.21212863922119,60.636385917663574,
cjk_journey_bench.txt,utf-16,0.0018303577839999434,0.006320525854999914,100.0,13.474764823913574,20.212191581726074,
cjk_journey_bench.txt,utf-32,0.0028911761289998595,0.0029187564119999934,100.0,26.949498176574707,20.212191581726074,
english_bench.txt,ascii,0.000925597137000068,0.0010368493810001382,99.9,20.51511573791504,20.51512336730957,
english_bench.txt,utf-8,0.000922814254000059,0.0011901456860000507,99.9,20.51511573791504,20.51512336730957,
english_bench.txt,utf-16,0.009312767000000121,0.005230390093000096,99.9,41.03020191192627,20.51512336730957,
english_bench.txt,utf-32,0.03403558049799994,0.009266802679999955,99.9,82.0603723526001,20.51512336730957,
multilingual_bench.txt,ascii,0.0060566560989998375,0.0011668861639998341,99.9,19.849409103393555,19.777929306030273,True
multilingual_bench.txt,utf-8,0.02087252965499988,0.033826932207000025,100.0,79.3975419998169,120.10435104370117,
multilingual_bench.txt,utf-16,0.029379894830000013,0.037753312952999975,100.0,39.75955295562744,119.27867126464844,
multilingual_bench.txt,utf-32,0.03982236006599987,0.039824240231999736,100.0,79.39754581451416,119.09637832641602,
emoji-test_bench.txt,ascii,0.0012131007980001414,4.803620004167897e-07,100.5,5.6169633865356445,0.009746551513671875,True
emoji-test_bench.txt,utf-8,0.006187952648000192,0.01759275163500024,100.0,22.467759132385254,100.0855884552002,
emoji-test_bench.txt,utf-16,0.006341869954000231,0.01523923166600025,100.0,17.608010292053223,44.02003860473633,
emoji-test_bench.txt,utf-32,0.002410352175999833,0.0024731835369998408,99.9,22.46776294708252,28.084755897521973,
