Dataset,Encoding,File Size,Avg Write (s),Avg Read (s),CPU (%),RAM Delta (MB),meta_iters_w,meta_time_w,meta_iters_r,meta_time_r,data_loss
cjk_journey_bench.txt,ascii,0,0.001435443980465789,7.149666875152657e-06,99.9,0.0,1331,1.9105759379999654,273399,1.9547117739998612,True
cjk_journey_bench.txt,utf-8,21193920,0.013005445915032575,0.03445829384999797,93.8,0.125,153,1.989833224999984,100,3.445829384999797,
cjk_journey_bench.txt,utf-16,14129282,0.006515236773769875,0.024460996620000515,89.8,0.015625,305,1.987147215999812,100,2.4460996620000515,
cjk_journey_bench.txt,utf-32,28258564,0.012350656937499593,0.027041756250000618,90.8,0.01953125,160,1.976105109999935,100,2.7041756250000617,
english_bench.txt,ascii,21511625,0.008562629182607334,0.0031735611321654553,86.8,0.00390625,230,1.9694047119996867,628,1.992996390999906,
english_bench.txt,utf-8,21511625,0.00856962845726494,0.0032780976420362464,87.5,0.0,234,2.005293058999996,609,1.9963614640000742,
english_bench.txt,utf-16,43023252,0.016056809806451793,0.009252550627909016,88.4,20.515625,124,1.9910444160000225,215,1.9892983850004384,
english_bench.txt,utf-32,86046504,0.05988770907999878,0.040537433280001096,93.5,0.0,100,5.9887709079998785,100,4.05374332800011,
emoji-test_bench.txt,ascii,10179,0.001340703316062187,8.495310724186053e-06,98.9,0.0,1351,1.8112901800000145,230880,1.961397340000076,True
emoji-test_bench.txt,utf-8,20989449,0.01342865052054686,0.022976820489998318,92.8,0.0,146,1.9605829759998414,100,2.2976820489998317,
emoji-test_bench.txt,utf-16,18463304,0.012127552231706942,0.012782044205128166,92.4,22.46875,164,1.9889185659999384,156,1.9939988959999937,
emoji-test_bench.txt,utf-32,23559124,0.01018631203608249,0.008089016271255032,88.6,0.0,194,1.976144535000003,247,1.9979870189999929,
multilingual_bench.txt,ascii,20738621,0.012641908685897109,0.0030269008551622057,91.7,39.43359375,156,1.9721377549999488,649,1.9644586550002714,True
multilingual_bench.txt,utf-8,20989737,0.027792867279999883,0.12962932730000376,98.7,0.00390625,100,2.779286727999988,100,12.962932730000375,
multilingual_bench.txt,utf-16,41690880,0.026794075840002735,0.14565207611999995,97.8,-39.43359375,100,2.6794075840002733,100,14.565207611999995,
multilingual_bench.txt,utf-32,83254328,0.06585019467000165,0.16123890081000355,97.0,0.00390625,100,6.585019467000166,100,16.123890081000354,
